Date,Symbol,Quantity,Price,Trade Type
2023-01-13 05:00:00+00:00,UAL,-71.0,49.69,sell
2023-01-13 05:00:00+00:00,SWK,-41.0,85.52,sell
2023-01-13 05:00:00+00:00,AMZN,-37.0,94.18,sell
2023-01-13 05:00:00+00:00,DAL,-97.0,36.55,sell
2023-01-13 05:00:00+00:00,TSLA,-30.0,116.55,sell
2023-01-13 05:00:00+00:00,JPM,-26.0,135.6,sell
2023-01-13 05:00:00+00:00,BLDR,-52.0,68.15,sell
2023-01-13 05:00:00+00:00,FTNT,-76.0,46.25,sell
2023-01-13 05:00:00+00:00,WFC,-85.0,41.3801,sell
2023-01-13 05:00:00+00:00,NOC,-7.0,461.43,close
2023-01-13 05:00:00+00:00,GD,-14.0,240.29,close
2023-01-13 05:00:00+00:00,HPQ,-125.0,27.91,close
2023-01-13 05:00:00+00:00,HST,-206.0,17.01,close
2023-01-13 05:00:00+00:00,ATO,-30.0,114.74,close
2023-01-13 05:00:00+00:00,NRG,-110.0,31.88,close
2023-01-13 05:00:00+00:00,EXPD,-32.0,108.92,close
2023-01-13 05:00:00+00:00,EVRG,-55.0,62.89,close
2023-01-13 05:00:00+00:00,FDX,-18.0,188.63,close
2023-01-13 05:00:00+00:00,FE,-82.0,42.73,close
2023-01-13 05:00:00+00:00,NVDA,21.0,168.99,close
2023-01-13 05:00:00+00:00,UAL,71.0,51.65,close
2023-01-13 05:00:00+00:00,SWK,41.0,88.91,close
2023-01-13 05:00:00+00:00,AMZN,37.0,98.12,close
2023-01-13 05:00:00+00:00,DAL,97.0,38.2,close
2023-01-13 05:00:00+00:00,TSLA,30.0,122.4,close
2023-01-13 05:00:00+00:00,JPM,26.0,143.01,close
2023-01-13 05:00:00+00:00,BLDR,52.0,71.93,close
2023-01-13 05:00:00+00:00,FTNT,76.0,48.87,close
2023-01-13 05:00:00+00:00,WFC,85.0,44.22,close
2023-01-17 05:00:00+00:00,EMR,36.0,95.45,buy
2023-01-17 05:00:00+00:00,GS,9.0,364.8,buy
2023-01-17 05:00:00+00:00,TRV,17.0,192.79,buy
